"84.800","0.698","34.093746","13.998385","1.477783","1078.727539","59187.292969","43843.777344","-0.313847","-0.562496","0.068437","-9.738852","-0.813034","-33.798882","0.000000","9064.988281","247.236572","0.000000","0.000000","0.000000","0.000000","14.016937","0.000000","-9.096691","0.000000","40.722710","61.396774","0.000000","0.861007","0.000000","0.000000","0.000000","90.248779","39.687305","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","13227.840820","4300.402344","4.000000","24.000000","-273.000000","-273.000000","15.826605","0.000000","54.999775","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","61.299999","12.000000","-1.096832","-0.119179","0.664837","-144.545380","-33.780766","353.000000","2.420000","0.300000","1007.000000","40.844675169310","-96.771832044224","353.34"
"84.900","0.700","34.093746","13.998841","2.012633","1078.727539","59999.976563","43187.144531","-0.404897","-1.598505","0.042327","-9.502723","-3.378127","-36.867950","0.000000","9284.341797","247.509155","0.000000","0.000000","0.000000","0.000000","26.959641","0.000000","-7.385488","0.000000","42.775005","51.891525","0.000000","0.884973","0.000000","0.000000","0.000000","90.248779","39.687305","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","13420.981445","4309.185059","4.000000","24.000000","-273.000000","-273.000000","21.736584","0.000000","53.780979","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","60.799999","12.000000","-1.100019","-0.109619","0.699214","-147.960205","-34.330811","353.000000","2.420000","0.330000","837.000000","40.844661634215","-96.771842510309","353.33"
"85.000","0.702","34.093746","13.999297","1.774922","1078.727539","63468.304688","41187.378906","0.744908","-0.310381","0.617761","-11.808570","5.699223","-39.885944","0.000000","9153.141602","248.088409","0.000000","0.000000","0.000000","0.000000","33.690395","0.000000","-6.432938","0.000000","43.855408","52.662327","0.000000","0.943508","0.000000","0.000000","0.000000","90.453712","39.763821","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","13614.580078","4317.217773","4.000000","24.000000","-273.000000","-273.000000","24.936384","0.000000","53.549938","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.914551","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","60.500000","12.000000","-1.103205","-0.091774","0.745051","-151.363571","-34.857929","353.000000","2.420000","0.340000","815.000000","40.844647763402","-96.771851707221","353.34"
"85.100","0.704","34.093746","13.998949","1.232644","1078.727539","61437.519531","43999.597656","-0.159242","-1.462061","-0.430351","-11.496469","-3.414744","-29.997812","0.000000","9562.190430","249.227432","0.000000","0.000000","0.000000","0.000000","47.847713","0.000000","-4.433248","0.000000","46.362648","59.093369","0.000000","0.959980","0.000000","0.000000","0.000000","90.498764","39.780750","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","13712.065430","4321.180664","4.000000","24.000000","-273.000000","-273.000000","32.320164","0.000000","52.589947","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","60.100002","12.000000","-1.108941","-0.064369","0.790887","-154.721115","-35.499641","353.000000","2.430000","0.370000","817.000000","40.844633519531","-96.771859815443","353.36"
"85.200","0.705","34.093746","13.998602","0.630939","1079.090210","64437.671875","41499.515625","0.294973","-0.965201","-0.484033","-12.020060","1.424381","-35.019699","0.000000","9516.671875","251.111206","0.000000","0.000000","0.000000","0.000000","37.492943","0.000000","-5.170959","0.000000","44.663765","60.800686","0.000000","0.985653","0.000000","0.000000","0.000000","90.551094","39.857941","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","13912.986328","4329.213379","4.000000","24.000000","-273.000000","-273.000000","30.526186","0.000000","53.686951","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","59.799999","12.000000","-1.119776","-0.026130","0.836724","-158.021347","-36.301785","353.000000","2.440000","0.410000","820.000000","40.844618863684","-96.771866792419","353.40"
"85.300","0.707","34.093746","13.998254","0.876078","1078.727539","59843.300781","42780.917969","0.662418","-0.964291","-0.021374","-10.024260","-4.187464","-31.984680","0.000000","9816.970703","254.124268","0.000000","0.000000","0.000000","0.000000","45.394066","0.000000","-4.600616","0.000000","45.803844","61.191223","0.000000","0.954395","0.000000","0.000000","0.000000","90.561264","39.874866","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","14113.450195","4337.246094","4.000000","24.000000","-273.000000","-273.000000","32.553646","0.000000","53.166656","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","59.950001","12.000000","-1.136983","0.024856","0.888290","-161.206985","-37.241432","353.000000","2.440000","0.420000","822.000000","40.844603766331","-96.771872581731","353.45"
"85.400","0.709","34.093746","13.997906","1.470355","1078.727539","63374.855469","37718.531250","0.276815","-1.442558","1.197949","-10.785004","1.501841","-39.265808","0.000000","9821.914063","257.317444","0.000000","0.000000","0.000000","0.000000","46.498817","0.000000","-4.404625","0.000000","46.279716","68.723221","0.000000","0.972735","0.000000","0.000000","0.000000","90.561264","39.874866","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","14321.236328","4346.242676","4.000000","24.000000","-273.000000","-273.000000","34.203789","0.000000","53.016212","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","60.100002","12.000000","-1.159290","0.091775","0.945586","-164.220749","-38.181087","353.000000","2.440000","0.420000","840.000000","40.844588104293","-96.771876906406","353.51"
"85.500","0.710","34.093746","13.997559","1.269786","1078.727539","65437.257813","40968.335938","-0.327336","-1.106504","-0.454778","-10.258334","1.038960","-38.689445","0.000000","10209.954102","261.182312","0.000000","0.000000","0.000000","0.000000","56.437019","0.000000","-3.677735","0.000000","47.098930","66.892570","0.000000","0.968023","0.000000","0.000000","0.000000","90.561264","39.874866","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","14529.480469","4355.024902","4.000000","24.000000","-273.000000","-273.000000","39.270470","0.000000","52.298008","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","60.700001","12.000000","-1.179684","0.171440","1.014341","-167.005325","-38.799877","353.000000","2.450000","0.420000","843.000000","40.844571855249","-96.771879726485","353.58"
"85.600","0.712","34.093746","13.997211","2.228058","1078.727539","63874.648438","42843.148438","-1.260410","-0.640855","0.090743","-14.493250","-3.442442","-33.594604","0.000000","10486.979492","265.684875","0.000000","0.000000","0.000000","0.000000","59.946594","0.000000","-3.446840","0.000000","47.611229","58.788898","0.000000","0.975497","0.000000","0.000000","0.000000","90.561264","39.874866","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","14745.046875","4364.021973","4.000000","24.000000","-273.000000","-273.000000","42.549088","0.000000","52.426067","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","61.400002","12.000000","-1.191156","0.254929","1.088825","-169.572174","-38.799877","353.000000","2.450000","0.430000","851.000000","40.844555095169","-96.771881235836","353.65"
"85.700","0.714","34.093746","13.996862","1.812064","1078.727539","64499.972656","39468.386719","0.074610","-0.953517","0.229921","-12.699699","-2.735914","-38.531372","0.000000","10440.842773","269.247986","0.000000","0.000000","0.000000","0.000000","60.669872","0.000000","-3.401813","0.000000","47.257813","54.370934","0.000000","0.958477","0.000000","0.000000","0.000000","90.561264","39.874866","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","14966.106445","4373.018555","4.000000","24.000000","-273.000000","-273.000000","42.320530","0.000000","52.397411","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","62.299999","12.000000","-1.189881","0.334595","1.174769","-171.898376","-38.043575","353.000000","2.450000","0.430000","861.000000","40.844537846214","-96.771881468281","353.71"
"85.800","0.715","34.093746","13.996514","0.935506","1079.271240","63218.644531","39280.707031","0.542963","-1.636379","0.526561","-10.879456","-0.583002","-34.470089","0.000000","10634.863281","272.957123","0.000000","0.000000","0.000000","0.000000","60.669872","0.000000","-3.541432","0.000000","46.925320","65.137718","0.000000","0.950394","0.000000","0.000000","0.000000","90.664459","39.797676","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","15186.708008","4382.229492","4.000000","24.000000","-273.000000","-273.000000","43.092896","0.000000","52.576515","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","63.600002","12.000000","-1.173311","0.403425","1.260713","-173.983948","-36.508049","353.000000","2.450000","0.440000","858.000000","40.844520143363","-96.771880471956","353.78"
"85.900","0.717","34.093746","13.996167","0.764651","1079.633911","57780.898438","42593.238281","0.736607","-1.899100","0.300936","-11.559095","0.161082","-21.118923","0.000000","10653.193359","276.184357","0.000000","0.000000","0.000000","0.000000","60.373844","0.000000","-3.507749","0.000000","47.503498","66.480202","0.000000","0.952810","0.000000","0.000000","0.000000","90.686256","39.780750","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","15409.597656","4392.083008","4.000000","24.000000","-273.000000","-273.000000","43.007187","0.000000","52.554127","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","65.500000","11.000000","-1.135071","0.446763","1.340927","-175.783035","-34.170380","353.000000","2.450000","0.470000","835.000000","40.844501976592","-96.771878098314","353.85"
"86.000","0.719","34.093746","13.995819","1.440641","1078.727539","57531.234375","42437.421875","0.553728","-1.543562","-0.031247","-10.305560","-1.654294","-11.512892","0.000000","10738.875977","279.956757","0.000000","0.000000","0.000000","0.000000","62.156101","0.000000","-3.593440","0.000000","46.970276","64.702217","0.000000","0.953420","0.000000","0.000000","0.000000","90.686256","39.780750","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","15634.317383","4401.079590","4.000000","24.000000","-273.000000","-273.000000","43.187469","0.000000","52.610542","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","67.099998","11.000000","-1.073251","0.455049","1.398223","-177.318573","-31.168079","353.000000","2.450000","0.470000","832.000000","40.844483506943","-96.771874551666","353.91"
"86.100","0.721","34.093746","13.996922","2.592053","1079.090332","57843.664063","41624.472656","0.010148","-1.693007","-0.766776","-5.827330","-2.779574","-16.033806","0.000000","11119.707031","284.206207","0.000000","0.000000","0.000000","0.000000","73.252464","0.000000","-2.921175","0.000000","48.054546","67.895897","0.000000","0.955024","0.000000","0.000000","0.000000","90.686256","39.780750","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","15769.791016","4406.970215","4.000000","24.000000","-273.000000","-273.000000","50.203785","0.000000","51.836819","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","68.800003","11.000000","-0.991674","0.434017","1.421141","-178.636368","-27.776171","353.000000","2.450000","0.470000","853.000000","40.844464868131","-96.771870106998","353.97"
"86.200","0.723","34.093746","13.998026","1.180645","1078.727539","59312.820313","40312.203125","2.653209","-0.506123","1.623528","-6.004940","1.925757","-23.241976","0.000000","11224.543945","288.591949","0.000000","0.000000","0.000000","0.000000","46.625465","0.000000","-4.184028","0.000000","46.248714","73.136055","0.000000","0.906238","0.000000","0.000000","0.000000","90.686256","39.780750","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","15983.527344","4415.217285","4.000000","24.000000","-273.000000","-273.000000","43.613060","0.000000","54.660374","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.799833","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","70.400002","11.000000","-0.886516","0.384943","1.409682","-73.177757","-24.086323","354.000000","2.450000","0.460000","876.000000","40.844446154191","-96.771864888741","354.03"
"86.300","0.725","34.093746","13.999129","0.281801","1078.727539","56937.062500","44343.593750","-0.702174","-0.091985","0.103835","-6.842683","-0.271754","-21.162697","0.000000","10469.883789","290.159332","0.000000","0.000000","0.000000","0.000000","0.143435","0.000000","-9.107338","0.000000","40.870743","73.813072","0.000000","0.850161","0.000000","0.000000","0.000000","90.561264","39.687305","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","16214.655273","4425.070313","4.000000","24.000000","-273.000000","-273.000000","22.423241","0.000000","56.623341","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","71.500000","11.000000","-0.755864","0.313563","1.358116","179.359116","-20.052700","354.000000","2.440000","0.460000","873.000000","40.844427456892","-96.771859038353","354.08"
"86.400","0.727","34.093746","14.000233","1.225216","1078.727539","54062.441406","47937.398438","-0.657426","-1.165288","-0.454632","-8.180403","-5.566249","-20.639837","0.000000","10574.514648","288.085693","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-10.650126","0.000000","38.961830","72.581078","0.000000","0.852984","0.000000","0.000000","0.000000","90.561264","39.687305","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","16433.425781","4434.174316","4.000000","24.000000","-273.000000","-273.000000","16.012800","0.000000","56.553490","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","72.400002","12.000000","-0.589523","0.221788","1.260713","178.671570","-15.354446","354.000000","2.440000","0.440000","851.000000","40.844408871433","-96.771852680578","354.13"
"86.500","0.729","34.093746","14.001336","0.467512","1078.727539","48967.812500","49468.210938","-1.983107","1.261112","0.454961","-8.925748","-7.058171","-18.314934","0.000000","10582.958984","287.496735","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.197083","0.000000","38.599888","61.714088","0.000000","0.858874","0.000000","0.000000","0.000000","90.498764","39.499744","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","16655.857422","4443.277832","4.000000","24.000000","-273.000000","-273.000000","13.803085","0.000000","56.686924","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","73.000000","12.000000","-0.390041","0.119817","1.128932","178.190277","-10.037397","354.000000","2.440000","0.430000","849.000000","40.844390500646","-96.771846209065","354.17"
"86.600","0.731","34.093746","14.002439","1.217787","1078.727539","40093.355469","55593.953125","-0.415922","2.308429","-0.518992","-8.506876","0.939905","2.847517","0.000000","10394.293945","285.768707","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.384870","0.000000","38.118591","43.687649","0.000000","0.888954","0.000000","0.000000","0.000000","90.498764","39.499744","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","16876.916016","4453.024414","4.000000","24.000000","-273.000000","-273.000000","12.284952","0.000000","56.516777","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","73.099998","12.000000","-0.172077","0.014659","0.979964","177.903809","-4.376575","354.000000","2.430000","0.420000","844.000000","40.844372343259","-96.771839894733","354.21"
"86.700","0.733","34.093746","14.003543","0.727509","1078.727539","40655.914063","60062.933594","-0.507880","-0.589878","-0.033149","-4.073818","1.756284","21.976892","0.000000","10261.034180","282.945496","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.429896","0.000000","38.045738","43.564320","0.000000","0.913489","0.000000","0.000000","0.000000","90.498764","39.499744","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","17093.398438","4462.020996","4.000000","24.000000","-273.000000","-273.000000","11.648539","0.000000","56.297375","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","73.000000","12.000000","0.055447","-0.087313","0.830994","177.812134","1.467595","354.000000","2.420000","0.400000","839.000000","40.844354418463","-96.771833983084","354.25"
"86.800","0.735","34.093746","14.004646","5.125158","1078.727539","42718.312500","60655.843750","-0.807102","0.362888","-0.268574","6.032486","-3.119927","18.732731","0.000000","10045.798828","281.470612","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.420822","0.000000","38.421627","31.872572","0.000000","0.903781","0.000000","0.000000","0.000000","90.498764","39.499744","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","17306.218750","4471.017578","4.000000","24.000000","-273.000000","-273.000000","11.194380","0.000000","56.187225","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","72.599998","12.000000","0.279147","-0.182911","0.682025","177.915268","7.288846","354.000000","2.420000","0.400000","841.000000","40.844336741415","-96.771828708547","354.29"
"86.900","0.737","34.093746","14.005750","3.750893","1078.727539","38531.214844","55811.503906","-1.986091","0.728853","1.024471","7.986194","-5.913175","19.335842","0.000000","9941.374023","277.766327","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.334433","0.000000","38.348000","25.850054","0.000000","0.913063","0.000000","0.000000","0.000000","90.498764","39.499744","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","17515.835938","4479.264648","4.000000","24.000000","-273.000000","-273.000000","11.111627","0.000000","56.016182","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","71.700005","12.000000","0.482453","-0.263851","0.544516","178.247589","12.651731","354.000000","2.410000","0.380000","857.000000","40.844319364613","-96.771824411072","354.33"
"87.000","0.739","34.093746","14.006853","10.377082","1078.727539","40687.062500","56281.949219","0.635440","1.132075","0.025287","6.001687","8.955352","21.770182","0.000000","9822.532227","275.337402","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.352583","0.000000","38.267399","21.933107","0.000000","0.925594","0.000000","0.000000","0.000000","90.498764","39.499744","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","17724.080078","4488.261230","4.000000","24.000000","-273.000000","-273.000000","11.111627","0.000000","56.016182","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","70.599998","12.000000","0.648157","-0.325672","0.418465","178.843445","17.258310","354.000000","2.400000","0.370000","860.000000","40.844302324185","-96.771821340916","354.38"
"87.100","0.741","34.093746","14.008365","158.433762","1079.270996","41655.500000","59936.984375","-1.030448","1.284942","-0.189441","6.304547","-5.113696","18.628159","0.000000","9490.514648","271.019806","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.338272","0.000000","38.213921","16.046766","0.000000","0.925594","0.000000","0.000000","0.000000","90.498764","39.499744","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","17925.001953","4496.187012","4.000000","24.000000","-273.000000","-273.000000","10.731355","0.000000","55.550514","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.914551","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","69.400002","12.000000","0.772435","-0.372196","0.298144","1.100490","20.948160","354.000000","2.400000","0.390000","839.000000","40.844285593332","-96.771819352482","354.43"
"87.200","0.743","34.093746","14.009875","225.349365","1078.727539","39217.906250","61936.750000","-0.686998","1.497046","0.234675","7.125864","-3.631632","24.126699","0.000000","9228.937500","265.563202","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.270033","0.000000","38.188343","12.919888","0.000000","0.942168","0.000000","0.000000","0.000000","90.498764","39.499744","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","18023.861328","4500.256836","4.000000","24.000000","-273.000000","-273.000000","10.451569","0.000000","55.166340","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","68.200005","12.000000","0.853375","-0.404062","0.189282","-179.278076","23.537928","354.000000","2.390000","0.400000","818.000000","40.844269214462","-96.771818424372","354.48"
"87.300","0.745","34.093746","14.011387","252.767807","1078.727539","38312.234375","61593.250000","0.675777","0.403477","-0.238954","9.973781","0.205211","26.711815","0.000000","8946.145508","259.108704","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.223610","0.000000","38.467358","10.714117","0.000000","0.952100","0.000000","0.000000","0.000000","90.551094","39.576260","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","18215.626953","4508.182617","4.000000","24.000000","-273.000000","-273.000000","10.295914","0.000000","54.896790","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.895965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","66.700005","12.000000","0.891614","-0.423182","0.080420","-177.971741","24.958864","354.000000","2.390000","0.400000","821.000000","40.844253231324","-96.771818512164","354.53"
"87.400","0.746","34.093746","14.012897","241.758850","1078.727539","39374.585938","61218.386719","1.449707","1.144205","0.137916","10.322840","3.161358","24.746836","0.000000","8586.528320","252.552017","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.144377","0.000000","38.486732","9.664545","0.000000","0.966358","0.000000","0.000000","0.000000","90.561264","39.593185","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","18400.988281","4516.215332","4.000000","24.000000","-273.000000","-273.000000","10.034845","0.000000","54.610226","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.981202","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","64.900002","12.000000","0.891614","-0.433379","-0.011253","-176.355988","25.302639","354.000000","2.390000","0.380000","852.000000","40.844237739720","-96.771819685109","354.55"
"87.500","0.748","34.093746","14.014409","262.201965","1078.727539","40343.484375","61280.617188","-1.193483","0.217868","-0.567920","9.855716","-2.058963","19.739540","0.000000","8304.148438","243.580978","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.020814","0.000000","38.065887","8.264258","0.000000","0.974238","0.000000","0.000000","0.000000","90.510391","39.593185","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","18579.941406","4523.391113","4.000000","24.000000","-273.000000","-273.000000","9.731417","0.000000","54.297691","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","63.400002","12.000000","0.876956","-0.437203","-0.085738","-174.419403","25.256802","354.000000","2.390000","0.370000","856.000000","40.844222782924","-96.771821802870","354.56"
